城市,公交名,首末班车时间,起始站,起始站经度,起始站纬度,终点站,终点站经度,终点站纬度,站点名,最高价,英文名,站数,经度,纬度,性质,线路ID,区号,区县编码,站点ID,总站数,发车间隔,线路总长度,基础价格,站点状态,ICCARD
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,通河新村,6,tong he xin cun,23,121.441546,31.33113,地铁,310100025686,021,310113,310100025686024,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,呼兰路,6,hu lan lu,24,121.437711,31.339703,地铁,310100025686,021,310113,310100025686025,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,共富新村,6,gong fu xin cun,25,121.434063,31.355082,地铁,310100025686,021,310113,310100025686026,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,宝安公路,6,bao an gong lu,26,121.430914,31.369555,地铁,310100025686,021,310113,310100025686027,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,友谊西路,6,you yi xi lu,27,121.427953,31.381296,地铁,310100025686,021,310113,310100025686028,28,3-6分钟,36.81733,3,1,1
上海,地铁1号线,,莘庄,121.385379,31.111193,富锦路,121.424661,31.39226,富锦路,6,fu jin lu,28,121.424661,31.39226,地铁,310100025686,021,310113,310100025686029,28,3-6分钟,36.81733,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,徐泾东,6,xu jing dong,1,121.299204,31.188367,地铁,310100025694,021,310118,310100025694002,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,虹桥火车站,6,hong qiao huo che zhan,2,121.31895,31.194022,地铁,310100025694,021,310112,310100025694003,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,虹桥2号航站楼,6,hong qiao 2 hao hang zhan lou,3,121.3263,31.194211,地铁,310100025694,021,310112,310100025694004,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,淞虹路,6,song hong lu,4,121.359588,31.218212,地铁,310100025694,021,310105,310100025694005,22,3-6分钟,36.53076,3,1,1
